Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Adygeja [Adygea],Республика Адыгея,Republic,447109,439996,449171
Adygejsk [Adygeysk],г. Адыгейск,City with Environs,14568,14659,15133
Giaginskij Rajon [Giaginsky Raion],Гиагинский район,District,33458,31766,31186
Košechabl'skij Rajon [Koshekhablsky Raion],Кошехабльский район,District,31296,30422,30117
Krasnogvardejskij Rajon [Krasnogvardeysky Raion],Красногвардейский район,District,31536,30868,31246
Majkop [Maykop],г. Майкоп,City with Environs,175753,166540,167353
Majkopskij Rajon [Maykopsky Raion],Майкопский район,District,58485,58439,60024
Šovgenovskij Rajon [Shovgenovsky Raion],Шовгеновский район,District,16388,16997,16629
Tachtamukajskij Rajon [Takhtamukaysky Raion],Тахтамукайский район,District,65674,69662,76358
Teučežskij Rajon [Teuchezhsky Raion],Теучежский район,District,19951,20643,21125
Astrachan' [Astrakhan],Астраханская область,Province (Oblast),1005276,1010073,1021287
Achtubinskij Rajon [Akhtubinsky Raion],Ахтубинский район,District,77627,71249,66105
Astrachan' [Astrakhan],г. Астрахань,City,504501,520339,532699
Černojarskij Rajon [Chernoyarsky Raion],Черноярский район,District,21293,20220,19653
Charabalinskij Rajon [Kharabalinsky Raion],Харабалинский район,District,40955,41176,40876
Ikrjaninskij Rajon [Ikryaninsky Raion],Икрянинский район,District,48418,47759,48084
Jenotajevskij Rajon [Yenotayevsky Raion],Енотаевский район,District,27625,26786,26007
Kamyzjakskij Rajon [Kamyzyaksky Raion],Камызякский район,District,49837,48647,48257
Krasnojarskij Rajon [Krasnoyarsky Raion],Красноярский район,District,38534,35615,36788
Limanskij Rajon [Limansky Raion],Лиманский район,District,34341,31952,31306
Narimanovskij Rajon [Narimanovsky Raion],Наримановский район,District,44077,45457,47737
Privolžskij Rajon [Privolzhsky Raion],Приволжский район,District,38649,43647,48487
Volodarskij Rajon [Volodarsky Raion],Володарский район,District,47351,47825,48080
Znamensk,г. Знаменск,City,32068,29401,27208
Kalmykija [Kalmykia],Республика Калмыкия,Republic,292410,289481,280564
Celinnyj Rajon [Tselinny Raion],Целинный район,District,19090,20051,20481
Černozemel'skij Rajon [Chernozemelsky Raion],Черноземельский район,District,12990,13258,12653
Èlista,г. Элиста,City with Environs,108511,108289,108960
Gorodovikovskij Rajon [Gorodovikovsky Raion],Городовиковский район,District,19322,17295,15979
Iki-Burul'skij Rajon [Iki-Burulsky Raion],Ики-Бурульский район,District,11323,11424,10565
Jašaltinskij Rajon [Yashaltinsky Raion],Яшалтинский район,District,17753,17178,16022
Jaškul'skij Rajon [Yashkulsky Raion],Яшкульский район,District,15734,15270,14707
Justinskij Rajon [Yustinsky Raion],Юстинский район,District,10506,10585,10069
Ketčenerovskij Rajon [Ketchenerovsky Raion],Кетченеровский район,District,11049,10622,9766
Laganskij Rajon [Lagansky Raion],Лаганский район,District,20007,20089,18676
Maloderbetovskij Rajon [Maloderbetovsky Raion],Малодербетовский район,District,10404,10528,10132
Oktjabr'skij Rajon [Oktyabrsky Raion],Октябрьский район,District,9213,9438,8767
Prijutnenskij Rajon [Priyutnensky Raion],Приютненский район,District,12004,11658,10997
Sarpinskij Rajon [Sarpinsky Raion],Сарпинский район,District,14504,13796,12790
Krasnodar,Краснодарский край,Territory (Kraj),5125221,5226647,5453329
Abinskij Rajon [Abinsky Raion],Абинский район,District,89794,91909,95773
Anapa,г. Анапа,City with Environs,131624,147184,175210
Apšeronskij Rajon [Apsheronsky Raion],Апшеронский район,District,95048,98891,100891
Armavir,г. Армавир,City with Environs,211824,208103,210250
Beloglinskij Rajon [Beloglinsky Raion],Белоглинский район,District,33477,31303,30486
Belorečenskij Rajon [Belorechensky Raion],Белореченский район,District,103936,105788,107635
Brjuchoveckij Rajon [Bryukhovetsky Raion],Брюховецкий район,District,54594,53028,51565
